"date","numbers"
"2019-11-16",56
"2019-11-17",181
"2019-11-18",1
"2019-11-19",1
"2019-11-20",1
"2019-11-21",1
"2019-11-22",40
"2019-11-23",165
"2019-11-24",23
"2019-11-25",1
"2019-11-26",1
"2019-11-27",1
"2019-11-28",7
"2019-11-29",1
"2019-11-30",1
"2019-12-01",1
"2019-12-02",1
"2019-12-03",1
"2019-12-04",1
"2019-12-05",1
"2019-12-06",1
"2019-12-07",1
"2019-12-08",1
"2019-12-09",1
"2019-12-10",1
"2019-12-11",1
"2019-12-12",1
"2019-12-13",1
"2019-12-14",4
"2019-12-15",1
"2019-12-16",1
"2019-12-17",1
"2019-12-18",1
"2019-12-19",1
"2019-12-20",1
"2019-12-21",1
"2019-12-22",11
"2019-12-23",1
"2019-12-24",1
"2019-12-25",1
"2019-12-26",1
"2019-12-27",1
"2019-12-28",2
"2019-12-29",2
"2019-12-30",1
"2019-12-31",2
