name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,8/23/22,78.8,64.2,71.3,78.8,64.2,71.3,61.4,71.7,0,0,0,,0,0,16.3,8.5,220.2,1015.2,66.3,21.3,232.1,20,9,,2022-08-23T06:36:19,2022-08-23T20:48:39,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/24/22,81,63.3,72.5,83.2,63.3,72.7,65,78.8,0,0,0,,0,0,13.4,8.7,123.7,1017.9,60.4,17.3,173.1,14.9,9,,2022-08-24T06:37:58,2022-08-24T20:46:28,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/25/22,87.2,67.6,75.1,85.9,67.6,75,62.8,69.1,0,0,0,,0,0,21.4,14.1,56.4,1015.3,59.2,15.9,216.1,18.9,7,,2022-08-25T06:39:38,2022-08-25T20:44:16,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/26/22,69.3,59.9,66.8,69.3,59.9,66.8,59.5,77.7,0.008,100,8.33,rain,0,0,23.7,14.5,336.3,1017.1,85.4,23.1,72.1,6.2,3,,2022-08-26T06:41:17,2022-08-26T20:42:03,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/27/22,69.2,55,62.5,69.2,55,62.5,53.5,73.4,0,0,0,,0,0,20.2,13,8.9,1018.3,46.9,23.7,153,13.2,8,,2022-08-27T06:42:57,2022-08-27T20:39:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/28/22,69.3,54.2,62.4,69.3,54.2,62.4,52.8,72.5,0,0,0,,0,0,19.6,13.4,10.2,1021.4,55.2,22.2,95,5.9,7,,2022-08-28T06:44:36,2022-08-28T20:37:35,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/29/22,70.8,53.8,62.7,70.8,53.8,62.7,53.7,73.4,0,0,0,,0,0,17.5,11.1,22.4,1022.4,78.2,23,111.7,9.2,7,,2022-08-29T06:46:16,2022-08-29T20:35:19,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/30/22,71.5,58.9,65.4,71.5,58.9,65.4,54.5,70.1,0,0,0,,0,0,25.3,15.6,48,1022,50.1,22.9,176.1,15.2,7,,2022-08-30T06:47:55,2022-08-30T20:33:04,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,8/31/22,72.2,59.7,65.4,72.2,59.7,65.4,50.8,60.4,0,0,0,,0,0,26.5,17.6,49,1022.8,37.4,25.7,170.6,14.7,7,,2022-08-31T06:49:34,2022-08-31T20:30:47,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
amsterdam,9/1/22,74.7,54.4,65.5,74.7,54.4,65.5,50.3,60.8,0,0,0,,0,0,22.1,14.9,63.1,1020.8,3.6,24.7,184.8,16,6,,2022-09-01T06:51:14,2022-09-01T20:28:30,0.18,Clear,Clear conditions throughout the day.,clear-day,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
